id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,specialties,services,doctors,insurance_accepted,appointment_url,emergency_hours,accreditation,languages,whatsapp,booking_url,whatsapp_url,patient_portal_url,telemedicine,emergency,pharmacy,lab_services,radiology,wheelchair_access,parking,female_doctors
ChIJtbmK9Vb_kT4Rir4103DlKh4,amani-house,Amani house,Clinics,,clinic;healthcare;doctor,,"H98P+FQW، 63 St، Muscat, Oman",Muscat,Oman,23.566401,58.386962,https://www.google.com/maps/place/?q=place_id:ChIJtbmK9Vb_kT4Rir4103DlKh4,https://www.google.com/maps/place/?q=place_id:ChIJtbmK9Vb_kT4Rir4103DlKh4,,https://www.google.com/maps/place/?q=place_id:ChIJtbmK9Vb_kT4Rir4103DlKh4,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://maps.google.com/maps/api/staticmap?center=23.5664014%2C58.3869615&zoom=16&size=900x900&language=en&markers=23.5664014%2C58.3869615&sensor=false&client=google-maps-frontend&signature=Hlw0KF4n7jr3wEIgOIudIpjAxYY,,,,,★★★★★ · Pain management physician,★★★★★ · Pain management physician,,,,,,5.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJb26Sc5b_kT4RtRZZXB9MbyY,amara-dermatology-clinic,Amara Dermatology Clinic عيادة الجلد امارا,Clinics,,clinic;healthcare;doctor,,"18th November St, Muscat, Oman",Muscat,Oman,23.596897,58.400539,https://www.google.com/maps/place/?q=place_id:ChIJb26Sc5b_kT4RtRZZXB9MbyY,https://www.google.com/maps/place/?q=place_id:ChIJb26Sc5b_kT4RtRZZXB9MbyY,+968 24 496003,https://www.google.com/maps/place/?q=place_id:ChIJb26Sc5b_kT4RtRZZXB9MbyY,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npAnK4lLj6lSfUHI_jddS7pnDn6Wo7saAbDvadmdOH6CW8K1zHYzrl6MpkDwQYYVGNK5Yjh-oKuKAh5lqMAwGC-FLnSlz0B5b3SUo2QE96vpsTkzR9VwE3JZ5uO-tISlfI8p-EtyQ=w900-h900-p-k-no,,,,,★★★★★ · Skin care clinic,★★★★★ · Skin care clinic,,,,,,4.70,,,,,,25,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJvQroSTr5kT4RZHI97O3qdfs,arabi-specialized-hospital-for-eye-ent,Arabi Specialized Hospital for Eye & ENT | المستشفى العربي التخصصي للعيون و الأنف و الأذن و الحنجرة,Clinics,,clinic;healthcare;doctor,,"106, Rumaila Bldg. Al-Nahda St. Watayya Near Mazda Showroom, Opposite to Al-Ahli Bank, مسقط 112, Oman",Muscat,Oman,23.599766,58.519846,https://www.google.com/maps/place/?q=place_id:ChIJvQroSTr5kT4RZHI97O3qdfs,https://www.google.com/maps/place/?q=place_id:ChIJvQroSTr5kT4RZHI97O3qdfs,+968 9095 4909,https://www.google.com/maps/place/?q=place_id:ChIJvQroSTr5kT4RZHI97O3qdfs,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipN7EGiUxCaWkGt-CHzHu7h-nylEqbcVF1o6wMD7=w900-h900-p-k-no,,,,,★★★★★ · Specialized hospital,★★★★★ · Specialized hospital,,,,,,4.50,,,,,,32,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJS2hsUAD_kT4R0B6k-ypsR8c,azura-clinic,Azura Clinic | عيادة ازورا,Clinics,,clinic;healthcare;doctor,,"Al Kharijiyah Street, Muscat, Oman",Muscat,Oman,23.605521,58.451710,https://www.google.com/maps/place/?q=place_id:ChIJS2hsUAD_kT4R0B6k-ypsR8c,https://azura-clinic.com/,+968 9096 9096,https://azura-clinic.com/,https://www.google.com/s2/favicons?domain=azura-clinic.com&sz=128,https://azura-clinic.com/wp-content/uploads/2024/12/en.webp,,,,,"Welcome to Azura Clinic, your trusted destination for professional skincare in Sarooj, Muscat. We specialize in advanced skincare treatments using the latest","Welcome to Azura Clinic, your trusted destination for professional skincare in Sarooj, Muscat. We specialize in advanced skincare treatments using the latest Welcome to Azura Clinic, your trusted destination for professional skincare in Sarooj, Muscat. We specialize in advanced skincare treatments using the latest technology to provide you with effective, personalized care. Our experienced team is dedicated to enhancing your natural beauty and promoting healthy skin with a wide range of services, including acne treatment, rejuvenation, and laser hair removal. At Azura Clinic, we prioritize your skin’s health and beauty, offering affordable…",,,wheelchair access;specialties: Dental;Ent;Eye,,,4.80,,,,,,400,Google,,2025-10-04,Dental;Ent;Eye,,,,,,,,,https://azura-clinic.com/book-an-appointment/,,,,,,,,Yes,,
ChIJVwVGF2IBjj4Rtnx3e1wiX24,bec-staf-accommodation,BEC STAF ACCOMMODATION,Clinics,,clinic;healthcare;doctor,,"Way 6601, Muscat, Oman",Muscat,Oman,23.574504,58.365381,https://www.google.com/maps/place/?q=place_id:ChIJVwVGF2IBjj4Rtnx3e1wiX24,https://www.google.com/maps/place/?q=place_id:ChIJVwVGF2IBjj4Rtnx3e1wiX24,,https://www.google.com/maps/place/?q=place_id:ChIJVwVGF2IBjj4Rtnx3e1wiX24,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5UR--3d2g-Q5FGhAGqa6cyPmm0N6tj8I8sVONymYG4R6STTs0wKs50U0lbVJ1ANNf6VHuAxrrp9Mxi5dgb2jVStSMoqF6sUvpDrorF1ysS2kpDO7AsfOYG2zd7ysXEIMcS0RX=w900-h900-p-k-no,,,,,★★★★☆ · Doctor,★★★★☆ · Doctor,,,,,,4.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJh2utL2j_kT4RXPEQHl97Z2w,brite-medical-center-dental-laser-dermatology-clinic,BRITE MEDICAL CENTER Dental & Laser Dermatology Clinic,Clinics,,clinic;healthcare;doctor,,"Sarooj Street, مسقط 113, Oman",Muscat,Oman,23.603033,58.448477,https://www.google.com/maps/place/?q=place_id:ChIJh2utL2j_kT4RXPEQHl97Z2w,https://instagram.com/brite.medical.centers?igshid=OGQ5ZDc2ODk2ZA==&utm_source=qr,,https://instagram.com/brite.medical.centers?igshid=OGQ5ZDc2ODk2ZA==&utm_source=qr,https://www.google.com/s2/favicons?domain=instagram.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958649.jpg,,,,,,,,,,,,5.00,,,,,,24,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJwypGiIz4kT4RUCQxIPOZ8OI,beautiful-mind-clinic,Beautiful Mind Clinic,Clinics,,clinic;healthcare;doctor,,"بناية واحة القرم، Sayh Al Malih St, Muscat, Oman",Muscat,Oman,23.620742,58.502271,https://www.google.com/maps/place/?q=place_id:ChIJwypGiIz4kT4RUCQxIPOZ8OI,http://beautifulmindoman.com/,+968 9130 2313,http://beautifulmindoman.com/,https://www.google.com/s2/favicons?domain=beautifulmindoman.com&sz=128,http://beautifulmindoman.com/public/uploads/media-6464325985f70f3cf8452c.png,,,,,,"Beautiful mind Counseling offers individual, couples, family therapy in Muscat, Oman.",,,specialties: Ent;Lab;languages: Arabic;English;Hindi,,,4.50,,,,,,55,Google,,2025-10-04,Ent;Lab,,,Yes,,,,Arabic;English;Hindi,,,,,,,,,,,,
ChIJI1SFnln_kT4RYAV7fKcnTFM,chic-clinic-derma-aesthetic,Chic Clinic Derma & Aesthetic عيادة شيك جلدية وتجميل,Clinics,,clinic;healthcare;doctor,,"Building No. 1039 Way No. 3015, Next to Al Yusr School, Al Sarooj, مسقط، Oman",Muscat,Oman,23.602491,58.447698,https://www.google.com/maps/place/?q=place_id:ChIJI1SFnln_kT4RYAV7fKcnTFM,https://linktr.ee/chicbysisters.com,+968 9558 6151,https://linktr.ee/chicbysisters.com,https://www.google.com/s2/favicons?domain=linktr.ee&sz=128,https://linktr.ee/og/image/chicbysisters.com.jpg,,,,,A Chic vision of beauty in Muscat Aesthetic & Dermatology - Women & Men,A Chic vision of beauty in Muscat Aesthetic & Dermatology - Women & Men,,,specialties: Dermatology,,,4.70,,,,,,125,Google,,2025-10-04,Dermatology,,,,,,,,,https://www.facebook.com/Chicbysistersclinic,https://wa.me/96895586151,,,,,,,,,
ChIJW7UWolnjjT4RC3RFIra-wGI,city-skin-center-al-maabilah,City Skin Center – Al Maabilah | مركز المدينة للأمراض الجلدية – المعبيلة,Clinics,,clinic;healthcare;doctor,,"Al Nur St, Sib, Oman",Muscat,Oman,23.638409,58.130629,https://www.google.com/maps/place/?q=place_id:ChIJW7UWolnjjT4RC3RFIra-wGI,https://www.instagram.com/csc.centres,+968 9565 3591,https://www.instagram.com/csc.centres,https://www.google.com/s2/favicons?domain=www.instagram.com&sz=128,https://static.cdninstagram.com/rsrc.php/v4/yR/r/hexDR1NOpRC.png,,,,,Create an account or log in to Instagram - Share what you're into with the people who get you.,Create an account or log in to Instagram - Share what you're into with the people who get you.,,,,,,4.10,,,,,,25,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJR0oSCYT_kT4RygjhQrqrrqM,clinica-victoria,Clinica Victoria,Clinics,,clinic;healthcare;doctor,,"Villa No. 341, Al Inshirah St, Muscat, Oman",Muscat,Oman,23.605166,58.453360,https://www.google.com/maps/place/?q=place_id:ChIJR0oSCYT_kT4RygjhQrqrrqM,https://www.google.com/maps/place/?q=place_id:ChIJR0oSCYT_kT4RygjhQrqrrqM,+968 24 949411,https://www.google.com/maps/place/?q=place_id:ChIJR0oSCYT_kT4RygjhQrqrrqM,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2laEh8y10m0QKrH-SCkfpQ&cb_client=search.gws-prod.gps&w=900&h=900&yaw=231.95383&pitch=0&thumbfov=100,,,,,★★★★★ · Dermatologist,★★★★★ · Dermatologist,,,,,,5.00,,,,,,3,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJf45QaGb_kT4RT4FSEW5VOww,clinica-victoria,Clinica Victoria كلينكا فيكتوريا,Clinics,,clinic;healthcare;doctor,,"Sultan Qaboos St, Muscat, Oman",Muscat,Oman,23.600398,58.447086,https://www.google.com/maps/place/?q=place_id:ChIJf45QaGb_kT4RT4FSEW5VOww,https://www.google.com/maps/place/?q=place_id:ChIJf45QaGb_kT4RT4FSEW5VOww,+968 24 949411,https://www.google.com/maps/place/?q=place_id:ChIJf45QaGb_kT4RT4FSEW5VOww,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipPPhMLIZRr41uzXo4Zit1HsQVZdExDbHmRXQ3Q_=w900-h900-p-k-no,,,,,★★★★☆ · Dermatologist,★★★★☆ · Dermatologist,,,,,,4.10,,,,,,63,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJl2Cietr8jT4RqlzcvS6eOa4,clnix,Clnix,Clinics,,clinic;healthcare;doctor,,"As Sad St, Sib, Oman",Muscat,Oman,23.621199,58.201312,https://www.google.com/maps/place/?q=place_id:ChIJl2Cietr8jT4RqlzcvS6eOa4,https://www.google.com/maps/place/?q=place_id:ChIJl2Cietr8jT4RqlzcvS6eOa4,+968 9784 4573,https://www.google.com/maps/place/?q=place_id:ChIJl2Cietr8jT4RqlzcvS6eOa4,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipOxfjuV9rYxJJCBnBP-P9SOPhc4Jk-GSUfJV4R9=w900-h900-p-k-no,,,,,★★★★★ · Doctor,★★★★★ · Doctor,,,,,,5.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJafEVETn_kT4Rni4OQr9rcNc,cosmeclic,Cosmeclic,Clinics,,clinic;healthcare;doctor,,"Villa 1303, Way 3017, Al Kharijyah St, مسقط 114, Oman",Muscat,Oman,23.600892,58.445640,https://www.google.com/maps/place/?q=place_id:ChIJafEVETn_kT4Rni4OQr9rcNc,http://cosmeclic.care/,+968 9924 4099,http://cosmeclic.care/,https://www.google.com/s2/favicons?domain=cosmeclic.care&sz=128,https://cosmeclic.care/wp-content/uploads/2023/05/cropped-Logo-01.png,,,,,Cosmeclic Cosmeclic Clinic -,Cosmeclic Cosmeclic Clinic -,,,wheelchair access;specialties: Cosmetic;Dermatology;Ent;Eye;Plastic Surgery;languages: English,,,4.20,,,,,,34,Google,,2025-10-04,Cosmetic;Dermatology;Ent;Eye;Plastic Surgery,,,,,,,English,,https://wh.ms/96899244099,,https://cosmeclic.care/my-account/,,,,,,Yes,,
ChIJq-oF5PH_kT4RhTKsZ4zE3Sc,crown-dental-centre,Crown Dental Centre,Clinics,,clinic;healthcare;doctor,,"Dawat Al Adab St, شارع الخوير, مسقط، Oman",Muscat,Oman,23.586302,58.412425,https://www.google.com/maps/place/?q=place_id:ChIJq-oF5PH_kT4RhTKsZ4zE3Sc,https://crowndentaloman.com/,+968 9504 8486,https://crowndentaloman.com/,https://www.google.com/s2/favicons?domain=crowndentaloman.com&sz=128,https://crowndentaloman.com/wp-content/uploads/2020/08/Crown_Dental_Muscat.-removebg-preview.png,,,,,,"Transforming smiles, one appointment at a time. At Crown Dental Muscat we prioritize your oral health and comfort above all else. With our expert team of dentists and state-of-the-art facilities, we ensure a personalized and gentle approach to all your dental needs. Schedule your appointment today and experience the difference.",,,wheelchair access;specialties: Aesthetics;Cosmetic;Dental;Dentistry;Ent;Lab,,,4.90,,,,,,35,Google,,2025-10-04,Aesthetics;Cosmetic;Dental;Dentistry;Ent;Lab,,,,,,,,,https://crowndentaloman.com/contact-us/,"https://api.whatsapp.com/send?phone=96895048486&text=Hi,%20How%20can%20we%20help?",,,,,,,Yes,,
ChIJJduZg939jT4RRwRNLxoz3gg,crystal-visa-medical,Crystal visa Medical,Clinics,,clinic;healthcare;doctor,,"Al Ezhdehar Street, Sib 124, Oman",Muscat,Oman,23.604309,58.223405,https://www.google.com/maps/place/?q=place_id:ChIJJduZg939jT4RRwRNLxoz3gg,https://crystalhealthcare.co/,+968 9638 6388,https://crystalhealthcare.co/,https://www.google.com/s2/favicons?domain=crystalhealthcare.co&sz=128,https://crystalhealthcare.co/wp-content/uploads/2019/08/crystal-logo-1-3-2.png,,,,,"Discover optimal well-being with Crystal Health Care Our dedicated team provides personalised and advanced healthcare solutions, ensuring your journey","Discover optimal well-being with Crystal Health Care Our dedicated team provides personalised and advanced healthcare solutions, ensuring your journey Crystal health care provide exceptional patient care in an environment where quality, respect, caring and compassion are at the centre of all we do.",,,24h/emergency;specialties: Cosmetic;Dental;Dentistry;Ent,,,3.40,,,,,,7,Google,,2025-10-04,Cosmetic;Dental;Dentistry;Ent,,,Yes,,,,,,https://crystalhealthcare.co/appointment/,,,,Yes,,,,,,
ChIJbUG5pjo_WBQRHUOsWvqaYJc,curexmed,Curexmed,Clinics,,clinic;healthcare;doctor,,"24 Mostafa Riyaad street, Al Manteqah Al Oula, Nasr City, Cairo Governorate 11765, Egypt",Muscat,Oman,30.063100,31.330909,https://www.google.com/maps/place/?q=place_id:ChIJbUG5pjo_WBQRHUOsWvqaYJc,https://www.curexmed.com/,+20 10 29029206,https://www.curexmed.com/,https://www.google.com/s2/favicons?domain=www.curexmed.com&sz=128,https://www.curexmed.com/wp-content/uploads/2022/06/خدمة-الكشف-المنزلي-دكتور-يجي-البيت.jpg,,,,,تعتبر شركة كيوركسميد افضل مقدم للخدمات الطبية المنزلية بالقاهرة مثل الكشف المنزلى في مصر والتمريض المنزلى فى مصر و الخدمات الطبية المنزلية الاخري,تعتبر شركة كيوركسميد افضل مقدم للخدمات الطبية المنزلية بالقاهرة مثل الكشف المنزلى في مصر والتمريض المنزلى فى مصر و الخدمات الطبية المنزلية الاخري خبراء في تقديم جميع الخدمات الطبية المنزلية علي أعلي مستوي من الكفائة,,,specialties: Ent;languages: English,,,4.00,,,,,,8,Google,,2025-10-04,Ent,,,,,,,English,,,,,,,,,,,,
ChIJ0UThU-f5kT4RyCvqyPD7v5g,dar-derma-clinic,DAR DERMA CLINIC عيادة دار درما,Clinics,,clinic;healthcare;doctor,,"Al Wilaj St, Muscat, Oman",Muscat,Oman,23.614889,58.498050,https://www.google.com/maps/place/?q=place_id:ChIJ0UThU-f5kT4RyCvqyPD7v5g,https://darderma.com/,+968 9560 0333,https://darderma.com/,https://www.google.com/s2/favicons?domain=darderma.com&sz=128,https://darderma.com/images/content/surgery-index-01.webp,,,,,"Welcome to Dar Derma - Your Destination for Beauty and Wellness in Muscat, Oman. Explore a world of advanced cosmetic and skincare solutions.","Welcome to Dar Derma - Your Destination for Beauty and Wellness in Muscat, Oman. Explore a world of advanced cosmetic and skincare solutions. Established with an aim to provide world class services in dermatology through authentic and up to date solutions for all kinds of skin treatments relating to all age groups, We at Dar Derma Clinic have a team of highly qualified and experienced skin doctors who will help you in diagnosing the problem and coming up with best-fit treatment solutions.",,,24h/emergency;wheelchair access;specialties: Cosmetic;Dermatology;Ent;Eye;Lab;Plastic Surgery;languages: Arabic;English,,,4.80,,,,,,70,Google,,2025-10-04,Cosmetic;Dermatology;Ent;Eye;Lab;Plastic Surgery,,,,,,,Arabic;English,,https://darderma.com/,,,,Yes,,,,Yes,,
